,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres_x,primaryName,film_2,film_3,film_4,averageRating,original_language,overview,popularity,release_date,runtime,spoken_languages,production_companies_name,region,poster_ok,clean_overview
0,tt0030998,movie,You're Only Young Twice,You're Only Young Twice,1952,81,Comedy,Wendy Noel,tt0044443,tt1628302,Pas de film,5.0,en,"Seeking her long lost uncle, Ada Shore arrives at Skerryvore University to find him working under another name as the Gate Keeper. Ada is mistaken by the Principal as his new secretary so she jumps headlong into the role",0.947,1951-07-01,81.0,['en'],['Group 3'],GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,seeking her long lost uncle ada shore arrives at skerryvore university to find him working under another name as the gate keeper ada is mistaken by the principal as his new secretary so she jumps headlong into the role
1,tt0035423,movie,Kate & Leopold,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",Ray Seiden,tt0138704,tt0138946,tt0098502,6.4,en,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",15.77,2001-12-25,118.0,"['en', 'fr', 'it']","['Konrad Pictures', 'Miramax']",GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when her scientist exboyfriend discovers a portal to travel through time  and brings back a thcentury nobleman named leopold to prove it  a skeptical kate reluctantly takes responsibility for showing leopold the st century the more time kate spends with leopold the harder she falls for him but if he doesnt return to his own time his absence will forever alter history
15,tt0036606,movie,"Another Time, Another Place","Another Time, Another Place",1983,118,"Drama,War",Corrado Sfogli,Pas de film,Pas de film,Pas de film,6.4,it,"Set in 1943 in Scotland during World War II. Janie is a young housewife married to a man named Dougal, 15 years her senior. As part of a war rehabilitation program, Janie and Dougal welcome three Italian POWs to work on their farm. Soon, Janie falls in love with one of them...",1.4,1983-05-13,118.0,"['en', 'it']","['Umbrella', 'Associated-Rediffusion Television', 'Channel Four Films', 'The Scottish Arts Council']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,set in  in scotland during world war ii janie is a young housewife married to a man named dougal  years her senior as part of a war rehabilitation program janie and dougal welcome three italian pows to work on their farm soon janie falls in love with one of them
19,tt0042192,movie,All About Eve,All About Eve,1950,138,Drama,Celeste Holm,tt0039416,tt0049314,tt0041257,8.2,en,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",18.707,1950-10-06,139.0,"['en', 'fr']",['20th Century Fox'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,from the moment she glimpses her idol at the stage door eve harrington is determined to take the reins of power away from the great actress margo channing eve maneuvers her way into margos broadway role becomes a sensation and even causes turmoil in the lives of margos director boyfriend her playwright and his wife only the cynical drama critic sees through eve admiring her audacity and perfect pattern of deceit
26,tt0042194,movie,The Glass Castle,Le château de verre,1950,99,"Drama,Romance",Roger Dalphin,tt0160727,tt0126308,tt0149631,6.1,fr,"Evelyne, a judge's young wife, falls in love with Rémy while vacationing in Italy. Upon returning home, she must decide between telling her husband and continuing to see Rémy.",1.104,1950-12-16,99.0,"['fr', 'it']","['Universalia Film', 'Franco London Films', 'Fortezza Film']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,evelyne a judges young wife falls in love with rmy while vacationing in italy upon returning home she must decide between telling her husband and continuing to see rmy
28,tt0042219,movie,Backfire,Backfire,1950,91,"Crime,Drama,Film-Noir",Sheila MacRae,tt0042296,tt0057887,tt0059287,6.5,en,"When he's discharged from a military hospital, ex-GI Bob Corey goes on a search for his army buddy Steve Connolly. A reformed crook, Connolly is on the lam from a trumped-up murder rap, and Corey hopes to clear his pal. Tagging along is Army nurse Julie Benson, who has fallen for Corey.",2.901,1950-01-26,91.0,['en'],['Warner Bros. Pictures'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when hes discharged from a military hospital exgi bob corey goes on a search for his army buddy steve connolly a reformed crook connolly is on the lam from a trumpedup murder rap and corey hopes to clear his pal tagging along is army nurse julie benson who has fallen for corey
35,tt0042234,movie,Beauty on Parade,Beauty on Parade,1950,66,"Adventure,Drama,Romance",Josette Deegan,tt7578900,Pas de film,Pas de film,4.7,en,"Marian Medford Woodstock gave up a chance twenty years ago to compete for the Miss USA beauty title in order to marry Jeffrey Woodstock. She hopes to realize her past ambitions for fame and fortune through her daughter Kay, whom she persuades to enter a local beauty contest. Kay wins and is interviewed by reporter Gil McRoberts, who advises her to get married and settle down. Jeffrey is very upset with his wife's and daughter's passion for beauty contests and, when Kay enters the national contest, he informs Marian that she must choose between him and her chase after empty honors for Kay.",1.4,1950-05-04,66.0,[],['Columbia Pictures'],CA,https://media.themoviedb.org/t/p/w220_and_h330_face/2qjE9XC32pTFqeW4gYF2ecB2FBZ.jpg,marian medford woodstock gave up a chance twenty years ago to compete for the miss usa beauty title in order to marry jeffrey woodstock she hopes to realize her past ambitions for fame and fortune through her daughter kay whom she persuades to enter a local beauty contest kay wins and is interviewed by reporter gil mcroberts who advises her to get married and settle down jeffrey is very upset with his wifes and daughters passion for beauty contests and when kay enters the national contest he informs marian that she must choose between him and her chase after empty honors for kay
47,tt0042249,movie,The Big Lift,The Big Lift,1950,120,"Drama,War",Donald W. Keniston,Pas de film,Pas de film,Pas de film,6.4,en,The Berlin Air Lift from the point of view of two NCOs.,3.206,1950-04-26,120.0,"['en', 'de']",['20th Century Fox'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,the berlin air lift from the point of view of two ncos
54,tt0042255,movie,Captain Blackjack,Black Jack,1950,90,"Adventure,Crime",George Mari,tt0032093,tt0026303,Pas de film,5.7,en,"A man who lost everything in the war now smuggles contraband into and out of Spain, but the law's closing in.",1.018,1950-11-20,90.0,['en'],"['Alsa Films', 'Jungla Films']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a man who lost everything in the war now smuggles contraband into and out of spain but the laws closing in
61,tt0042257,movie,Blackmailed,Blackmailed,1951,73,"Crime,Drama,Thriller",Derrick Penley,tt0043154,tt0989125,Pas de film,6.7,en,"A blackmailer is murdered, and those who witnessed the scene agree to keep quiet; the complication is that the scene is also witnessed by a young artist, a victim of blackmail as well. (BFI Website)",1.165,1951-01-30,85.0,['en'],['Harold Huth Productions'],GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a blackmailer is murdered and those who witnessed the scene agree to keep quiet the complication is that the scene is also witnessed by a young artist a victim of blackmail as well bfi website
63,tt0042265,movie,The Blue Lamp,The Blue Lamp,1950,84,"Crime,Drama,Thriller",Peggy Evans,tt0040687,tt0046106,tt0023901,6.8,en,"P.C. George Dixon is a long-serving traditional copper who is due to retire shortly. He takes a new recruit under his aegis and introduces him to the easy-going night beat. Dixon is a classic ordinary hero but also anachronistic, unprepared and unable to answer the violence  of the 1950s.",4.874,1950-01-19,84.0,['en'],"['J. Arthur Rank Organisation', 'Ealing Studios']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,pc george dixon is a longserving traditional copper who is due to retire shortly he takes a new recruit under his aegis and introduces him to the easygoing night beat dixon is a classic ordinary hero but also anachronistic unprepared and unable to answer the violence  of the s
68,tt0042278,movie,The Boy from Indiana,Boy from Indiana,1950,66,"Drama,Romance,Sport",Allen Church,Pas de film,Pas de film,Pas de film,5.3,en,"Happy-go-lucky aspiring sportswriter Lon Decker from Indiana who has aspirations of becoming a sportswriter meets the shrewd and larcenous old man, ""Mac"" Dougal during his wandering. Mac likes to ensure his bets on Quarter-Horse races by doping a horse or two here and there.  When Lon finds out Mac intends to fleece wealthy rancher Zelda Bagley he sets out to stop him.",0.849,1950-03-01,66.0,['en'],['Ventura Pictures Corporation'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,happygolucky aspiring sportswriter lon decker from indiana who has aspirations of becoming a sportswriter meets the shrewd and larcenous old man mac dougal during his wandering mac likes to ensure his bets on quarterhorse races by doping a horse or two here and there  when lon finds out mac intends to fleece wealthy rancher zelda bagley he sets out to stop him
70,tt0042296,movie,Caged,Caged,1950,97,"Crime,Drama,Film-Noir",Eleanor Parker,tt0059742,tt0038000,tt0039969,7.6,en,"A single mistake puts a 19-year old girl behind bars, where she experiences the terrors and torments of women in prison.",6.447,1950-05-19,96.0,['en'],['Warner Bros. Pictures'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a single mistake puts a year old girl behind bars where she experiences the terrors and torments of women in prison
75,tt0042325,movie,Champagne for Caesar,Champagne for Caesar,1950,99,"Comedy,Romance",Art Linkletter,tt0368141,tt0062570,tt0045410,7.3,en,"When jobless genius Beauregard Bottomley interviews with Burnbridge Waters for a position at Waters' soap company, the owner rudely turns Bottomley down. As revenge, Bottomley enters a TV quiz show that Waters' company sponsors, with the goal of winning until he bankrupts the businessman. When Bottomley keeps acing the questions, becoming a media sensation, Waters desperately calls on vixen Flame O'Neal to uncover Bottomley's area of weakness.",1.771,1950-05-11,99.0,['en'],['Cardinal Pictures (II)'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when jobless genius beauregard bottomley interviews with burnbridge waters for a position at waters soap company the owner rudely turns bottomley down as revenge bottomley enters a tv quiz show that waters company sponsors with the goal of winning until he bankrupts the businessman when bottomley keeps acing the questions becoming a media sensation waters desperately calls on vixen flame oneal to uncover bottomleys area of weakness
81,tt0042332,movie,Cinderella,Cinderella,1950,74,"Animation,Family,Fantasy",Lucille Bliss,tt0084649,tt0358082,tt0328475,7.3,en,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",73.639,1950-02-22,74.0,['en'],['Walt Disney Productions'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/4nssBcQUBadCTBjrAkX46mVEKts.jpg,cinderella has faith her dreams of a better life will come true with help from her loyal mice friends and a wave of her fairy godmothers wand cinderellas rags are magically turned into a glorious gown and off she goes to the royal ball but when the clock strikes midnight the spell is broken leaving a single glass slipper the only key to the ultimate fairytale ending
93,tt0042357,movie,Cry Murder,Cry Murder,1950,63,"Crime,Drama,Mystery",Eugene Smith,tt0048860,tt0044265,tt0057731,8.0,en,"A young actress has retired from films to marry the son of a prominent and rich politician in New York City. The father objects strongly to the marriage. The actress is being blackmailed by a second-rate artist who has stolen some letters from her that could be misconstrued. During the payoff, she is knocked unconscious, and awakens to find herself involved in a murder and the police have her marked as the number-one suspect.",0.621,1950-01-06,63.0,['en'],['Edward Leven Productions'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a young actress has retired from films to marry the son of a prominent and rich politician in new york city the father objects strongly to the marriage the actress is being blackmailed by a secondrate artist who has stolen some letters from her that could be misconstrued during the payoff she is knocked unconscious and awakens to find herself involved in a murder and the police have her marked as the numberone suspect
94,tt0042436,movie,The Terrible Children,Les enfants terribles,1950,105,Drama,Jacques Bernard,tt0213566,tt0257055,tt0097526,6.9,fr,"Elisabeth and her brother Paul live isolated from much of the world after Paul is injured in a snowball fight. As a coping mechanism, the two conjure up a hermetic dream of their own making. Their relationship, however, isn't exactly wholesome. Jealousy and a malevolent undercurrent intrude on their fantasy when Elisabeth invites the strange Agathe to stay with them -- and Paul is immediately attracted to her.",5.688,1950-03-29,105.0,"['en', 'fr']",['Melville Productions'],FR,https://media.themoviedb.org/t/p/w220_and_h330_face/yxcc8CfOn6M2HSGbjaDkAKb0QNQ.jpg,elisabeth and her brother paul live isolated from much of the world after paul is injured in a snowball fight as a coping mechanism the two conjure up a hermetic dream of their own making their relationship however isnt exactly wholesome jealousy and a malevolent undercurrent intrude on their fantasy when elisabeth invites the strange agathe to stay with them  and paul is immediately attracted to her
99,tt0042451,movie,Father of the Bride,Father of the Bride,1950,92,"Comedy,Drama,Romance",Tom Irish,tt0101862,tt0043526,tt0045883,7.1,en,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",8.477,1950-05-18,92.0,['en'],['Metro-Goldwyn-Mayer'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg,proud father stanley banks remembers the day his daughter kay got married starting when she announces her engagement through to the wedding itself we learn of all the surprises and disasters along the way
105,tt0042511,movie,The Golden Gloves Story,The Golden Gloves Story,1950,76,"Drama,Romance,Sport",Gregg Sherwood,tt0042141,tt0042123,tt0203271,5.8,en,"Joe Riley is a boxing referee whose life-code is the same as the sporting rules of the prizefight ring. Two Golden Glove (a tournament for amateur prizefighters) contestants Nick Martel, a tough, pugnacious kid from Chicago who has had to fight for everything he has in life, and Bob Gilmore, from the other side of life's tracks, are also competing for the affections of Riley's daughter, Patty.",0.915,1950-03-22,76.0,['en'],['Central National Pictures Corp.'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,joe riley is a boxing referee whose lifecode is the same as the sporting rules of the prizefight ring two golden glove a tournament for amateur prizefighters contestants nick martel a tough pugnacious kid from chicago who has had to fight for everything he has in life and bob gilmore from the other side of lifes tracks are also competing for the affections of rileys daughter patty
106,tt0042530,movie,Gun Crazy,Gun Crazy,1950,87,"Crime,Drama,Film-Noir",Peggy Cummins,tt0039556,tt0050766,tt0051713,7.6,en,"Bart Tare is an ex-Army man who has a lifelong fixation with guns, he meets a kindred spirit in sharpshooter Annie Starr and goes to work at a carnival. After upsetting the carnival owner who lusts after Starr, they both get fired. Soon, on Starr's behest, they embark on a crime spree for cash.",9.407,1950-01-20,87.0,['en'],"['King Brothers Productions', 'United Artists']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,bart tare is an exarmy man who has a lifelong fixation with guns he meets a kindred spirit in sharpshooter annie starr and goes to work at a carnival after upsetting the carnival owner who lusts after starr they both get fired soon on starrs behest they embark on a crime spree for cash
130,tt0042531,movie,The Gunfighter,The Gunfighter,1950,85,Western,Skip Homeier,tt0051047,tt0060028,tt0065305,7.7,en,The fastest gun in the West tries to escape his reputation.,8.959,1950-06-23,85.0,['en'],['20th Century Fox'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/5696EpyH0tB8DtKvwNGABMRWknX.jpg,the fastest gun in the west tries to escape his reputation
136,tt0042541,movie,The Happiest Days of Your Life,The Happiest Days of Your Life,1950,81,Comedy,Betty Blackler,tt0151771,tt0262968,tt0395536,7.2,en,"Nutbourne College, an old established, all-boys, boarding school is told that another school is to be billeted with due to wartime restrictions. The shock is that it's an all-girls school that has been sent. The two head teachers are soon battling for the upper hand with each other and the Ministry. But a crisis (or two) forces them to work together.",2.57,1950-03-08,81.0,['en'],"['Individual Pictures', 'London Films Productions']",CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,nutbourne college an old established allboys boarding school is told that another school is to be billeted with due to wartime restrictions the shock is that its an allgirls school that has been sent the two head teachers are soon battling for the upper hand with each other and the ministry but a crisis or two forces them to work together
140,tt0042542,movie,The Happy Years,The Happy Years,1950,110,"Comedy,Family,Romance",Jerry Mickelsen,tt0294274,tt0250167,Pas de film,6.7,en,"Based on a collection of stories with the focus on young John Humperkink ""Dink"" Stover, a student at the Lawrenceville Prepatory School, in 1896, whose family, in Eastcester, New York, have just about given up on his education because he is an incorrigible student. He gets into one situation after another and incurs the dislike of his classmates, who think he is cowardly but he changes their opinion when he challenges several of them to a fight. When he returns home for the summer, he meets Miss Dolly Travers and increases his 'hatred of women' because she does not accept his schoolboy pranks. Back at school, in the fall, he is more difficult than ever until his philosophy is changed by a teacher.",0.709,1950-07-07,110.0,['en'],['Metro-Goldwyn-Mayer'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,based on a collection of stories with the focus on young john humperkink dink stover a student at the lawrenceville prepatory school in  whose family in eastcester new york have just about given up on his education because he is an incorrigible student he gets into one situation after another and incurs the dislike of his classmates who think he is cowardly but he changes their opinion when he challenges several of them to a fight when he returns home for the summer he meets miss dolly travers and increases his hatred of women because she does not accept his schoolboy pranks back at school in the fall he is more difficult than ever until his philosophy is changed by a teacher
148,tt0042568,movie,Holiday Rhythm,Holiday Rhythm,1950,60,Musical,Eve Martell,tt0163930,tt0159187,tt0914702,6.4,en,"A young executive is trying to convince an airline to sponsor a travel show on television, but he's not getting anywhere. When he tells his fiancé that he may have to postpone their honeymoon, she goes off on him, and as he backs away from her he hits his head on a fire extinguisher and knocks himself out. While unconscious he dreams his own version of the show he's trying so hard to sell.",1.127,1950-10-30,0.0,['en'],['Lippert Pictures'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a young executive is trying to convince an airline to sponsor a travel show on television but hes not getting anywhere when he tells his fianc that he may have to postpone their honeymoon she goes off on him and as he backs away from her he hits his head on a fire extinguisher and knocks himself out while unconscious he dreams his own version of the show hes trying so hard to sell
150,tt0042593,movie,In a Lonely Place,In a Lonely Place,1950,94,"Drama,Film-Noir,Mystery",Martha Stewart,tt0040111,tt0039294,tt0037650,7.9,en,An aspiring actress begins to suspect that her temperamental and mentally impaired boyfriend is a murderer.,11.685,1950-05-17,94.0,['en'],['Santana Pictures Corporation'],US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,an aspiring actress begins to suspect that her temperamental and mentally impaired boyfriend is a murderer
158,tt0042608,movie,It's a Small World,It's a Small World,1950,74,Drama,Paul Dale,Pas de film,Pas de film,Pas de film,6.0,en,"Harry Musk is one in a million. That means that he's the one out of a million children who is perfectly proportioned but will never grow larger than a typical six-year-old. Adult, pint-sized Harry longs to be part of the big world.",1.4,1950-06-24,74.0,['en'],['Motion Pictures Inc.'],GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,harry musk is one in a million that means that hes the one out of a million children who is perfectly proportioned but will never grow larger than a typical sixyearold adult pintsized harry longs to be part of the big world
160,tt0042619,movie,Diary of a Country Priest,Journal d'un curé de campagne,1951,95,Drama,Claude Laydu,tt0047498,tt0047393,tt0233958,7.7,fr,"An inexperienced, sickly priest shows up in the rural French community of Ambricourt, where he joins the community's clergy. But the locals don't take kindly to the priest, and his ascetic ways and unsociable demeanor make him an outcast. During Bible studies at the nearby girls school, he is continually mocked by his students. Then his attempt to intervene in a family feud backfires into a scandal. His failures, compounded with his declining health, begin to erode his faith.",4.72,1951-02-07,115.0,['fr'],['Union Générale Cinématographique (UGC)'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,an inexperienced sickly priest shows up in the rural french community of ambricourt where he joins the communitys clergy but the locals dont take kindly to the priest and his ascetic ways and unsociable demeanor make him an outcast during bible studies at the nearby girls school he is continually mocked by his students then his attempt to intervene in a family feud backfires into a scandal his failures compounded with his declining health begin to erode his faith
165,tt0042638,movie,The Kid from Texas,The Kid from Texas,1950,78,"Drama,Western",Dorita Pallais,Pas de film,Pas de film,Pas de film,6.3,en,"Billy the Kid becomes embroiled in Lincoln County, NM, land wars. When rancher who gave him a break is killed by rival henchman, Billy vows revenge. New employer takes advantage of his naivety to kill rivals, lets the Kid take rap. Kid takes to the hills with friends until caught. Escapes hanging but remains in area to be near employer's young wife with whom he's infatuated",1.541,1950-03-01,78.0,"['en', 'es']",['Universal International Pictures'],FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,billy the kid becomes embroiled in lincoln county nm land wars when rancher who gave him a break is killed by rival henchman billy vows revenge new employer takes advantage of his naivety to kill rivals lets the kid take rap kid takes to the hills with friends until caught escapes hanging but remains in area to be near employers young wife with whom hes infatuated
171,tt0042669,movie,The Lawless,The Lawless,1950,83,"Crime,Drama,Film-Noir",Noel Reyburn,tt0125750,tt5022584,Pas de film,6.7,en,A newspaper editor takes on the cause of oppressed migrant Mexican fruit pickers..,2.072,1950-06-01,83.0,"['en', 'es']","['Paramount', 'Pine-Thomas Productions']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a newspaper editor takes on the cause of oppressed migrant mexican fruit pickers
179,tt0042679,movie,Lilli Marlene,Lilli Marlene,1950,74,"Drama,Musical,Mystery",Barbara Cummings,tt0341798,tt0250914,Pas de film,5.0,en,"Lilli Marlene, a French girl working as a bar maid in her uncle's café in Benghazi, Libya, turns out to be the girl that the popular German wartime song Lili Marleen had been written for before the war, so both the British and the Germans try to use her for propaganda purposes - especially as it turns out that she can sing as well.  When the Germans kidnap her in Cairo and she starts appearing in radio broadcasts from Berlin, her British soldier friends think that she's joined the enemy. They couldn't be more wrong, because after the war it turns out that her songs over the radio contained secret messages to London from British agents in Berlin.",0.84,1950-12-08,74.0,['en'],"['William Gell Productions', 'Monarch Productions Limited']",GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,lilli marlene a french girl working as a bar maid in her uncles caf in benghazi libya turns out to be the girl that the popular german wartime song lili marleen had been written for before the war so both the british and the germans try to use her for propaganda purposes  especially as it turns out that she can sing as well  when the germans kidnap her in cairo and she starts appearing in radio broadcasts from berlin her british soldier friends think that shes joined the enemy they couldnt be more wrong because after the war it turns out that her songs over the radio contained secret messages to london from british agents in berlin
181,tt0042733,movie,The Milkman,The Milkman,1950,87,Comedy,Joyce Holden,tt0046210,tt0049944,tt0041024,6.3,en,A dairy owner's son takes a job as milkman with a rival company.,0.84,1950-10-17,87.0,['en'],['Universal International Pictures'],CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a dairy owners son takes a job as milkman with a rival company
