,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres_x,primaryName,film_2,film_3,film_4,averageRating,original_language,overview,popularity,release_date,runtime,spoken_languages,production_companies_name,region,poster_ok,clean_overview
41461,tt0101748,movie,Dogfight,Dogfight,1991,94,"Comedy,Drama,Romance",Bob Comfort,tt0116439,tt0084986,tt0085041,7.3,en,"In the fall of 1963, Eddie Birdlace is an 18-year-old Marine Corps volunteer who is about to ship out with three of his buddies for a tour of duty in Vietnam. Planning a massive blowout for their last night in San Francisco, Eddie, his buddies, and a number of other Marines set up a contest they call a ""dogfight.""",8.766,1991-09-13,94.0,['en'],['Warner Bros. Pictures'],US,https://media.themoviedb.org/t/p/w220_and_h330_face/z8wbcXIesquSFQEDEjk4uSskPS7.jpg,in the fall of  eddie birdlace is an yearold marine corps volunteer who is about to ship out with three of his buddies for a tour of duty in vietnam planning a massive blowout for their last night in san francisco eddie his buddies and a number of other marines set up a contest they call a dogfight
41473,tt0101757,movie,Don't Tell Mom the Babysitter's Dead,Don't Tell Mom the Babysitter's Dead,1991,102,Comedy,Bryan Clark,tt0086465,tt0074119,tt0100130,6.4,en,"Sue Ellen Crandell is a teenager eagerly awaiting her mother's summer-long absence. While the babysitter looks after her rambunctious younger siblings, Sue Ellen can party and have fun. But then the babysitter abruptly dies, leaving the Crandells short on cash. Sue Ellen finds a sweet job in fashion by lying about her age and experience on her résumé. But, while her siblings run wild, she discovers the downside of adulthood",12.416,1991-06-07,105.0,['en'],"['Outlaw Productions', 'Cinema Plus', 'Douglas', 'HBO', 'Mercury']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,sue ellen crandell is a teenager eagerly awaiting her mothers summerlong absence while the babysitter looks after her rambunctious younger siblings sue ellen can party and have fun but then the babysitter abruptly dies leaving the crandells short on cash sue ellen finds a sweet job in fashion by lying about her age and experience on her rsum but while her siblings run wild she discovers the downside of adulthood
41487,tt0101761,movie,The Doors,The Doors,1991,140,"Biography,Drama,Music",Val Kilmer,tt0120053,tt0373469,tt0096446,7.2,en,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",13.935,1991-03-01,140.0,['en'],"['Ixtlan Productions', 'Imagine Entertainment', 'Bill Graham Films', 'Carolco Pictures']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,the story of the famous and influential s rock band and its lead singer and composer jim morrison
41517,tt0101764,movie,Double Impact,Double Impact,1991,110,"Action,Crime",Sing Chen,tt0083061,tt1165280,tt0070167,5.7,en,"Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend.",25.866,1991-07-31,110.0,['en'],"['Stone Group Pictures', 'Vision International', 'Columbia Pictures']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,jean claude van damme plays a dual role as alex and chad twins separated at the death of their parents chad is raised by a family retainer in paris alex becomes a petty crook in hong kong seeing a picture of alex chad rejoins him and convinces him that his rival in hong kong is also the man who killed their parents alex is suspicious of chad especially when it comes to his girlfriend
41523,tt0101765,movie,The Double Life of Véronique,La double vie de Véronique,1991,98,"Drama,Fantasy,Music",Halina Gryglaszewska,tt0081773,tt0072446,tt0049887,7.6,fr,"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",12.928,1991-05-15,98.0,"['fr', 'it', 'pl']","['Sidéral Productions', 'Zespól Filmowy ""Tor""', 'Norsk Film', 'Canal+']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,vronique is a beautiful young french woman who aspires to be a renowned singer weronika lives in poland has a similar career goal and looks identical to vronique though the two are not related the film follows both women as they contend with the ups and downs of their individual lives with vronique embarking on an unusual romance with alexandre fabbri a puppeteer who may be able to help her with her existential issues
41541,tt0101775,movie,Drop Dead Fred,Drop Dead Fred,1991,103,"Comedy,Drama,Fantasy",Eleanor Mondale,tt0137799,tt0078558,tt0087829,6.0,en,"When Elizabeth returns to her mother's home after her marriage breaks up, she recreates her imaginary childhood friend, Fred, to escape from the trauma of losing her husband and her job. In between the chaos and mayhem that Fred creates, Elizabeth attempts to win back her husband and return to normality.",12.158,1991-04-19,103.0,['en'],"['New Line Cinema', 'PolyGram Filmed Entertainment', 'Working Title Films']",US,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,when elizabeth returns to her mothers home after her marriage breaks up she recreates her imaginary childhood friend fred to escape from the trauma of losing her husband and her job in between the chaos and mayhem that fred creates elizabeth attempts to win back her husband and return to normality
41553,tt0101786,movie,Dutch,Dutch,1991,107,"Comedy,Drama",Lisa Figus,tt0090660,tt0071042,tt0096708,6.5,en,"To get to know his girlfriend's son, a man volunteers to pick him up from a prep school....only to learn that her son's not the nicest kid.",8.084,1991-07-19,107.0,['en'],"['Hughes Entertainment', '20th Century Fox']",GB,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,to get to know his girlfriends son a man volunteers to pick him up from a prep schoolonly to learn that her sons not the nicest kid
41559,tt0101805,movie,Eline Vere,Eline Vere,1991,132,"Drama,Romance",Ruud Jacobs,tt28368498,tt8462188,tt11416602,6.2,nl,"This melodramatic film follows Eline Vere, as she attempts to break free from the confines of her narrow existence in The Hague through three tumultuous and ultimately disastrous courtships. Adaptation of Louis Couperus' novel Eline Vere.",0.611,1991-03-01,168.0,['nl'],"['Sigma Film Productions', 'Odessa Films', 'Corsan Productions']",FR,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,this melodramatic film follows eline vere as she attempts to break free from the confines of her narrow existence in the hague through three tumultuous and ultimately disastrous courtships adaptation of louis couperus novel eline vere
41560,tt0101809,movie,Eminent Domain,Eminent Domain,1990,106,"Drama,Thriller",Krystyna Froelich,tt0075453,tt0441074,tt0386946,5.9,en,"A high-ranking Polish politburo member is banished from the party, and must find out why. Set in 1979 Poland before the Solidarity events.",3.085,1991-04-12,106.0,['en'],"['SVS Films', 'Arama Entertainment', 'Harlech Films', 'Stéphan Films', 'UGC Images']",CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,a highranking polish politburo member is banished from the party and must find out why set in  poland before the solidarity events
41565,tt0101811,movie,Enchanted April,Enchanted April,1991,95,Drama,Joan Plowright,tt0106701,tt0053796,tt0130623,7.3,en,"Four English women, unhappy with their lives, rent an Italian villa on holiday.",4.601,1991-11-06,89.0,"['en', 'it']","['BBC Film', 'Miramax', 'Greenpoint Films']",CA,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.RmTOmKj7CXV94QH65Et1vAHaHa%3Fpid%3DApi&f=1&ipt=aeb51eaa73fe1257b3706f09f7dad627fbade16f5469936c7346d411573f0d7f&ipo=images,four english women unhappy with their lives rent an italian villa on holiday
